,filename,solvable,time_elapsed,max_depth,backtracks,solved_literals,n_steps,heuristic_used
992,9by9_cnf/9by9_993.cnf,True,0.15362499999991996,44,18,1103,63,DLCS
993,9by9_cnf/9by9_994.cnf,True,0.18082410000033633,35,39,2119,98,DLCS
994,9by9_cnf/9by9_995.cnf,True,0.5471661000001404,71,174,6928,365,DLCS
995,9by9_cnf/9by9_996.cnf,True,0.08768969999982801,30,17,1168,48,DLCS
996,9by9_cnf/9by9_997.cnf,True,0.1737756000002264,45,34,1561,86,DLCS
997,9by9_cnf/9by9_998.cnf,True,0.18233050000026196,48,36,1861,97,DLCS
998,9by9_cnf/9by9_999.cnf,True,0.07043720000001485,21,15,1195,37,DLCS
999,9by9_cnf/9by9_1000.cnf,True,0.46123720000014146,60,165,6035,334,DLCS
1000,9by9_cnf/9by9_1001.cnf,True,0.34849549999989904,62,91,3605,198,DLCS
1001,9by9_cnf/9by9_1002.cnf,True,1.1608833000000232,74,486,17112,982,DLCS
1002,9by9_cnf/9by9_1003.cnf,True,0.3501365000001897,67,95,4638,191,DLCS
1003,9by9_cnf/9by9_1004.cnf,True,0.11335030000009283,38,26,1654,65,DLCS
1004,9by9_cnf/9by9_1005.cnf,True,0.1097436000000016,37,25,1354,69,DLCS
1005,9by9_cnf/9by9_1006.cnf,True,0.17742920000000595,38,47,2073,104,DLCS
1006,9by9_cnf/9by9_1007.cnf,True,0.23411110000006374,43,68,2687,143,DLCS
1007,9by9_cnf/9by9_1008.cnf,True,0.05638090000002194,0,0,729,1,DLCS
1008,9by9_cnf/9by9_1009.cnf,True,0.09040409999988697,29,27,1612,57,DLCS
1009,9by9_cnf/9by9_1010.cnf,True,0.1131745000002411,33,11,1051,45,DLCS
1010,9by9_cnf/9by9_1011.cnf,True,0.2874652000000424,70,109,4494,240,DLCS
